Date,r_label,c_label
2012-03-21,0.0001589436067515767,0.0
2012-03-22,0.00015830300461411933,0.5
2012-03-23,0.00015591848076294482,0.0
2012-03-26,0.00016275170033626325,1.0
2012-03-27,0.00016193314561818232,0.5
2012-03-28,0.00016264493897018438,1.0
2012-03-29,0.00016449560507948824,1.0
2012-03-30,0.00016855282548885092,1.0
2012-04-02,0.00016776985789279626,0.5
2012-04-03,0.00016627507997424737,0.5
2012-04-04,0.00016659539801346823,1.0
2012-04-05,0.0001676986836487437,1.0
2012-04-06,0.00016492268448478793,0.0
2012-04-09,0.0001636770503614073,0.5
2012-04-10,0.0001669156990821969,1.0
2012-04-11,0.0001666309851354945,0.5
2012-04-12,0.0001673427784874966,1.0
2012-04-13,0.00016705804757030204,0.5
2012-04-16,0.00016862399973290346,1.0
2012-04-17,0.00017367774441146277,1.0
2012-04-18,0.00017438953776346486,1.0
2012-04-19,0.0001819345506887854,1.0
2012-04-20,0.00016805457183949866,0.0
2012-04-23,0.0001729659510594607,1.0
2012-04-24,0.00017417599806081503,1.0
2012-04-25,0.0001729659510594607,0.5
2012-04-26,0.00017335742637224194,1.0
2012-04-27,0.00016766307955622527,0.0
2012-04-30,0.00016947815854350285,1.0
2012-05-01,0.00017211179224886134,1.0
2012-05-02,0.0001742471723048676,1.0
2012-05-03,0.0001718626654241852,0.5
2012-05-04,0.00017161353859950908,0.5
2012-05-07,0.0001712576504087541,0.5
2012-05-08,0.00017104409373561212,0.5
2012-05-09,0.00016413969991824114,0.0
2012-05-10,0.00016805457183949866,1.0
2012-05-11,0.00016969169824615268,1.0
2012-05-14,0.0001707238096373756,1.0
2012-05-15,0.000172645649990732,1.0
2012-05-16,0.00017303712530351327,1.0
2012-05-17,0.00017367774441146277,1.0
2012-05-18,0.00017303712530351327,0.5
2012-05-21,0.00017300153818148697,0.5
2012-05-22,0.00017446071200751743,1.0
2012-05-23,0.00017371333153348907,0.5
2012-05-24,0.000174638664588141,1.0
2012-05-25,0.00017431834654892014,0.5
2012-05-28,0.00017481661716876455,1.0
2012-05-29,0.00017428277639738602,0.5
2012-05-30,0.0001758842987115216,1.0
2012-05-31,0.00017926531289090845,1.0
2012-06-01,0.00017894501182217978,0.5
2012-06-04,0.00018513762925804084,1.0
2012-06-05,0.00018584942261004294,1.0
2012-06-06,0.00019051167500532882,1.0
2012-06-07,0.00019200643595338555,1.0
2012-06-08,0.00018994224711192401,0.5
2012-06-11,0.00019439094283406794,1.0
2012-06-12,0.0002025409877453117,1.0
2012-06-13,0.00020343073367793733,1.0
2012-06-14,0.00022286269388464345,1.0
2012-06-15,0.00021610066552586973,0.0
2012-06-18,0.00022282712373310933,1.0
2012-06-19,0.0002289129628323994,1.0
2012-06-20,0.00022926886799364652,1.0
2012-06-21,0.00022457102847633432,0.0
2012-06-22,0.00021592272991573832,0.0
2012-06-25,0.00022001553744712728,1.0
2012-06-26,0.00022809440811431846,1.0
2012-06-27,0.000226635234288288,0.5
2012-06-28,0.0002282011694803973,1.0
2012-06-29,0.0002321160244311627,1.0
2012-07-02,0.00022108321898988432,0.0
2012-07-03,0.00022321861601638272,1.0
2012-07-04,0.0002289129628323994,1.0
2012-07-05,0.00022812999523634474,0.5
2012-07-06,0.00024140494209970822,1.0
2012-07-09,0.0002477754951457007,1.0
2012-07-10,0.00024599602025094156,0.5
2012-07-11,0.0002678480914308485,1.0
2012-07-12,0.0002643247287633565,0.5
2012-07-13,0.00029404211393731266,1.0
2012-07-16,0.00030471903118783607,1.0
2012-07-17,0.0003157518196586223,1.0
2012-07-18,0.00030721029943459727,0.0
2012-07-19,0.00029475392425980685,0.0
2012-07-20,0.0002921202735839562,0.5
