Date,shangai,btc,crude oil,dax,euro,gold,silver,spy,ftse,hsi,nasdaq,nikkei,rates,MA4,MA96,MA200,stochRSI,RSI,btc_std_dev,std_dif,conf_int,hashrate,difficulty,transactions,t_cost
2014-11-07,0.14585967443292733,0.017911565859764174,0.7672209127763042,0.4919280745352146,0.44673953717697173,0.11871683077299404,0.1075741730946961,0.3886005843934111,0.5532713644056939,0.4318525086507174,0.2533087706538876,0.5207565849057396,0.5619963063225817,0.01909468718409525,0.04239357990230286,0.051884383617608006,0.6757566612110414,0.45460694619187886,0.06543461540593182,0.004830244395280733,0.006336168730855451,0.0017802275980236353,0.0019804470996690137,0.08675281371189981,0.08543678488614265
2014-11-10,0.16266049173223718,0.01919380921385059,0.7589733541284175,0.4919280745352146,0.4649949062378404,0.1087238253888232,0.10643436548540042,0.3911355365351067,0.5683065176247193,0.44335633567238814,0.2552288615837993,0.514793724136859,0.5765654113791343,0.019656295630686285,0.042219120725750174,0.05168011439076703,0.9999999999999999,0.6274844967411968,0.06542425993750764,0.006239455704977831,0.008181174653227074,0.00195330528214423,0.0019804470996690137,0.0871511225952229,0.10858913668330514
2014-11-11,0.16185580806491698,0.019234145600847703,0.7625363055049968,0.510204112460024,0.4579345717893935,0.11192166030271532,0.10662432910684928,0.3919276977472565,0.5737956237309567,0.44711761326583593,0.2561280340224968,0.5353113817230434,0.5768753703234315,0.02004942154330001,0.041957431960921145,0.05137371055050557,0.9999999999999999,0.6314933661062224,0.06541402744561475,0.006286030631158138,0.008238587929033606,0.0017431395228558334,0.0019804470996690137,0.08730043414721174,0.09145815475910302
2014-11-12,0.16921850042215272,0.022156898744415975,0.7575217757521329,0.47913495256377703,0.4682414769822473,0.10802436380590283,0.10540315288367964,0.3910563627205101,0.568204303353976,0.45480227555387764,0.25759448707943633,0.5396672419506195,0.5765654113791343,0.02106031674716388,0.041695743196092115,0.0510673067102441,0.9999999999999999,0.8092498262480893,0.06541524611006586,0.00949257151060351,0.012435764602510347,0.0016689633725139503,0.0019804470996690137,0.08745048252943377,0.1026759650486091
2014-11-13,0.16685371266895085,0.02200904921761524,0.7379255683504977,0.47913495256377703,0.4579345717893935,0.11022277619644893,0.10534885537989222,0.3919673450925812,0.576557240241325,0.45963902919683897,0.25809738323827963,0.5513561939210381,0.5728456084262581,0.02218353364034595,0.04152128401953943,0.05086303748340312,0.965894644909107,0.7907004181901952,0.06541576480514023,0.009330234901663457,0.012217675686497344,0.001804952981473023,0.0019804470996690137,0.08762164084139953,0.09204881295121195
2014-11-14,0.16452657448644895,0.020810097054031734,0.748548427916104,0.47913495256377703,0.4682760064262269,0.13410608346160308,0.12415533154513839,0.39216540050512516,0.5830009011170151,0.46362873568477436,0.2589422389629458,0.5572109338086739,0.5644761256876141,0.022576659552959677,0.04134682484298674,0.05076090286998264,0.7077366603185679,0.6502920340284908,0.0654112719848733,0.008015773853770048,0.010491741747408469,0.001804952981473023,0.0019804470996690137,0.08777316288408797,0.10136489347576479
2014-11-17,0.1632627330506522,0.020265474403203657,0.7473607774572443,0.47913495256377703,0.4778146984080617,0.13210748238476877,0.11718092329411252,0.39268027205210815,0.5890014115224775,0.446455088591587,0.2571780753088474,0.5263353657804036,0.5706757480055228,0.022857463776255194,0.04108513607815771,0.050658768256562146,0.6005911897286557,0.5920171663359951,0.06540464545878713,0.007419720331667489,0.00970725984836483,0.0018791291318086263,0.0019804470996690137,0.0881721282472476,0.10478673890410649
2014-11-18,0.15779344974894274,0.019626681360598194,0.740564797185642,0.5363996854820833,0.46220819273961194,0.1457978509671113,0.12035605911616079,0.3973541259484374,0.6016501778178713,0.43060602867412195,0.2603402804623396,0.54844626094782,0.5650961174815361,0.02218353364034595,0.04091067690160503,0.05055663364314166,0.4644446876440659,0.5264537843558503,0.06539565354677483,0.006720879841415113,0.00878905198422953,0.0018544037483592389,0.0019804470996690137,0.08832175778165725,0.10102181784367728
2014-11-19,0.15581540506573383,0.019906944529561914,0.7403668638323494,0.5370088983657915,0.4811616454431067,0.14270004369500427,0.12361261531328785,0.3960470327512782,0.5973884753243259,0.4213856817949668,0.2576517995616015,0.5451432671657622,0.574085592014102,0.021621925193754915,0.040648988136776,0.05045449902972117,0.5151162358622868,0.5532105225340742,0.06538764883865243,0.007030195436450258,0.009189505639094077,0.0017234694334410728,0.0020152699418566596,0.08847104027073666,0.09125977287645778
2014-11-20,0.15626621313103092,0.018718558634548185,0.7469649107506586,0.5370088983657915,0.4828203971046691,0.13980204773660893,0.11935194350512897,0.3974729471083586,0.5913538380043641,0.4199854138271913,0.26028296798017453,0.5458664057458236,0.5691258793787095,0.02106031674716388,0.04038729937194697,0.05045449902972117,0.29632945474492034,0.43768177267225916,0.06537552507525445,0.005729056428937628,0.007485370088158697,0.0017234694334410728,0.0020152699418566596,0.0886172044805925,0.08992999265736346
2014-11-21,0.16699087552027117,0.018352756268713133,0.7531010963982504,0.5546756072114162,0.4837741057007876,0.14659734019181678,0.1263535263886509,0.40182986399419635,0.6158671174526867,0.4251604779421094,0.2613994072749972,0.5492494113127075,0.5629262570608008,0.020554869145231944,0.04021284019539428,0.050352364416300685,0.18035752867308522,0.40568172963774723,0.06536222214845393,0.005330715398446251,0.006961824101549724,0.001559928537345013,0.0020152699418566596,0.08876521503998862,0.0793689306180321
2014-11-24,0.18153438851821613,0.019715777772092297,0.7482844999986792,0.5766068062429965,0.4456043482473795,0.14459873911498272,0.12597359914575318,0.4041271738160495,0.6087074572635303,0.4521378495008285,0.2656156808129869,0.5492494113127075,0.5613763145286599,0.020611029989891047,0.03995115143056525,0.05045449902972117,0.36679629309488215,0.553709011485778,0.06535347566329903,0.006828191202165862,0.008913654171688289,0.0019499106742015386,0.0020152699418566596,0.08916982202674349,0.11016526596902747
2014-11-25,0.19201493594904667,0.019634528627147072,0.7371337845982234,0.5918367797492659,0.4586631698243741,0.14619759557946416,0.13077698718576253,0.4035330680164438,0.609150774206511,0.4492254677535103,0.26595361328066275,0.5522418054111036,0.545877258733888,0.020498708300572842,0.03977669225401256,0.05045449902972117,0.34579644782989327,0.5452341439030748,0.06534442011542817,0.0067410969951654425,0.008796085175006385,0.0016102488130639793,0.0020152699418566596,0.08931139771607519,0.09140365926940085
